timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1697622831134,23,JSR223 TACAA,200,Groupe d'unités 1-1,true,0,1,1,0,1,0,CE75U19135
1697622831259,12027,SSO_Login  10392,200,Groupe d'unités 1-1,true,310146,1,1,0,1,0,CE75U19135
1697622861518,1079,Préparer envoi requête - 10392 Cour administrative,200,Groupe d'unités 1-1,true,354150,1,1,0,1,0,CE75U19135
1697622871626,231,Ajouter le requérant,200,Groupe d'unités 1-1,true,59593,1,1,0,1,0,CE75U19135
1697622877918,74,Décision Attaquée,200,Groupe d'unités 1-1,true,98577,1,1,0,1,0,CE75U19135
1697622880996,592,Ajouter fichier Requête,200,Groupe d'unités 1-1,true,104044,1,1,0,1,0,CE75U19135
1697622884600,4264,Ajouter une pièce,200,Groupe d'unités 1-1,true,106082,1,1,0,1,0,CE75U19135
1697622894893,108,Inventaire auto,200,Groupe d'unités 1-1,true,210182,1,1,0,1,0,CE75U19135
1697622901015,4311,Convertir en PDF,200,Groupe d'unités 1-1,true,106115,1,1,0,1,0,CE75U19135
1697622908338,15595,Envoyer 10392 Cour administrative,200,Groupe d'unités 1-1,true,168117,1,1,0,1,0,CE75U19135
1697622938978,50,Deconnexion,200,Groupe d'unités 1-1,true,25607,1,1,0,1,0,CE75U19135
1697622942056,1,JSR223 TACAA,200,Groupe d'unités 1-1,true,0,1,1,0,1,0,CE75U19135
1697622942070,10599,SSO_Login  32940,200,Groupe d'unités 1-1,true,318178,1,1,0,1,0,CE75U19135
1697622970764,1181,Préparer envoi requête - 32940 Tribunal administratif de Paris,200,Groupe d'unités 1-1,true,347162,1,1,0,1,0,CE75U19135
1697622980989,214,Ajouter le requérant,200,Groupe d'unités 1-1,true,58849,1,1,0,1,0,CE75U19135
1697622987231,558,Ajouter fichier Requête,200,Groupe d'unités 1-1,true,110513,1,1,0,1,0,CE75U19135
1697622990805,3667,Ajouter une pièce,200,Groupe d'unités 1-1,true,112551,1,1,0,1,0,CE75U19135
1697622997484,117,Ajouter l'inventaire,200,Groupe d'unités 1-1,true,113358,1,1,0,1,0,CE75U19135
1697622997607,0,Convertir en PDF,,Groupe d'unités 1-1,true,0,1,1,0,1,0,CE75U19135
